NFL Week 1 Point Spreads 2016 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
STL 0 @ SEA 28,9/13/09,7,7,SEA,-7,-7,SEA
CHI 15 @ GB 21,9/13/09,3,5,GB,-3,-5,GB
BUF 24 @ NE 25,9/14/09,9.5,13,BUF,-9.5,-13,BUF
SD 24 @ OAK 20,9/14/09,-6.5,-10,OAK,6.5,10,OAK
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 1 Point Spreads 2008 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
WAS 7 @ NYG 16,9/4/08,3.5,5,NYG,-3.5,-5,NYG
CIN 10 @ BAL 17,9/7/08,0,-2,BAL,0,2,BAL
NYJ 20 @ MIA 14,9/7/08,-3,-3,NYJ,3,3,NYJ
KC 10 @ NE 17,9/7/08,16,17,KC,-16,-17,KC
HOU 17 @ PIT 38,9/7/08,7,6,PIT,-7,-6,PIT
JAC 10 @ TEN 17,9/7/08,-3,-3,TEN,3,3,TEN
DET 21 @ ATL 34,9/7/08,0,-3,ATL,0,3,ATL
SEA 10 @ BUF 34,9/7/08,0,3,BUF,0,-3,BUF
TB 20 @ NO 24,9/7/08,3.5,3,NO,-3.5,-3,NO
STL 3 @ PHI 38,9/7/08,7,9,PHI,-7,-9,PHI
DAL 28 @ CLE 10,9/7/08,-3,-6,DAL,3,6,DAL
CAR 26 @ SD 24,9/7/08,10,9,CAR,-10,-9,CAR
ARI 23 @ SF 13,9/7/08,-2.5,-3,ARI,2.5,3,ARI
CHI 29 @ IND 13,9/7/08,10,11,CHI,-10,-11,CHI
MIN 19 @ GB 24,9/8/08,3,2,GB,-3,-2,GB
DEN 41 @ OAK 14,9/8/08,-1,-3,DEN,1,3,DEN
Showing 1 to 16 of 16 entries,,,,,,,
NFL Week 1 Point Spreads 2007 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
NO 10 @ IND 41,9/6/07,6.5,6,IND,-6.5,-6,IND
KC 3 @ HOU 20,9/9/07,-1,3,HOU,1,-3,HOU
DEN 15 @ BUF 14,9/9/07,-3,-3,BUF,3,3,BUF
PIT 34 @ CLE 7,9/9/07,-4.5,-5,PIT,4.5,5,PIT
TEN 13 @ JAC 10,9/9/07,6.5,8,TEN,-6.5,-8,TEN
CAR 27 @ STL 13,9/9/07,1,2,CAR,-1,-2,CAR
PHI 13 @ GB 16,9/9/07,-3,-3,GB,3,3,GB
ATL 3 @ MIN 24,9/9/07,0,3,MIN,0,-3,MIN
MIA 13 @ WAS 16,9/9/07,3,3,PUSH,-3,-3,PUSH
NE 38 @ NYJ 14,9/9/07,-6.5,-7,NE,6.5,7,NE
TB 6 @ SEA 20,9/9/07,6,6,SEA,-6,-6,SEA
CHI 3 @ SD 14,9/9/07,6.5,7,SD,-6.5,-7,SD
DET 36 @ OAK 21,9/9/07,2.5,3,DET,-2.5,-3,DET
NYG 35 @ DAL 45,9/9/07,4,6,DAL,-4,-6,DAL
BAL 20 @ CIN 27,9/10/07,3,3,CIN,-3,-3,CIN
ARI 17 @ SF 20,9/10/07,3.5,4,ARI,-3.5,-4,ARI
,,,,,,,
NFL Week 2 Point Spreads 2016 Opening and Closing NFL Point Spreads,,,,,,,
Road v Home,Date,Road Open Spread,Road Close Spread,Open Result,Home Open Spread,Home Close Spread,Close Result
NYJ 37 @ BUF 31,9/15/16,3,1.5,NYJ,-3,-1.5,NYJ
NO 13 @ NYG 16,9/18/16,5.5,3.5,NO,-5.5,-3.5,NO
KC 12 @ HOU 19,9/18/16,2,-1,HOU,-2,1,HOU
CIN 16 @ PIT 24,9/18/16,3,3,PIT,-3,-3,PIT
DAL 27 @ WAS 23,9/18/16,3,3.5,DAL,-3,-3.5,DAL
MIA 24 @ NE 31,9/18/16,5.5,5.5,NE,-5.5,-5.5,NE
TEN 16 @ DET 15,9/18/16,5,6,TEN,-5,-6,TEN
BAL 25 @ CLE 20,9/18/16,-4.5,-4,BAL,4.5,4,BAL
SF 27 @ CAR 46,9/18/16,7,12,CAR,-7,-12,CAR
TB 7 @ ARI 40,9/18/16,7,7.5,ARI,-7,-7.5,ARI
